"place","date","amount"
"01001",2020-03-19,10.05
"01001",2020-03-20,30.05
"01001",2020-03-21,20.05
"01001",2020-03-26,10.05
"01001",2020-03-27,10.05
"01003",2020-03-10,10.05
"01003",2020-03-15,10.05
"01003",2020-03-18,10.05
"01003",2020-03-19,10.05
"01003",2020-03-21,10.05
"01005",2020-03-29,10.05
"01005",2020-03-30,10.05
"01005",2020-04-02,10.05
"01005",2020-04-04,10.05
"01005",2020-04-05,50.05
"01007",2020-03-25,20.05
"01007",2020-03-26,10.05
"01007",2020-03-28,10.05
"01007",2020-03-31,10.05
"01007",2020-04-01,20.05
"01009",2020-03-20,10.05
"01009",2020-03-21,10.05
"01009",2020-03-22,20.05
"01009",2020-03-23,10.05
"01009",2020-03-28,10.05
"01011",2020-03-21,20.05
"01011",2020-04-03,10.05
"01011",2020-04-05,10.05
"01011",2020-04-08,10.05
"01011",2020-04-09,30.05
"01013",2020-03-20,10.05
"01013",2020-04-02,10.05
"01013",2020-04-04,10.05
"01013",2020-04-06,30.05
"01013",2020-04-07,10.05
"01015",2020-03-13,10.05
"01015",2020-03-18,10.05
"01015",2020-03-22,10.05
"01015",2020-03-25,50.05
"01015",2020-03-26,10.05
"01017",2020-03-14,10.05
"01017",2020-03-15,10.05
"01017",2020-03-19,30.05
"01017",2020-03-20,50.05
"01017",2020-03-21,30.05
"01019",2020-03-20,10.05
"01019",2020-03-24,10.05
"01019",2020-03-28,20.05
"01019",2020-03-29,10.05
"01019",2020-03-30,10.05
"01021",2020-03-20,10.05
"01021",2020-03-21,30.05
"01021",2020-03-22,20.05
"01021",2020-03-23,10.05
"01021",2020-03-25,30.05
"01023",2020-03-21,10.05
"01023",2020-03-25,10.05
"01023",2020-03-26,10.05
"01023",2020-03-27,10.05
"01023",2020-03-31,10.05
"01025",2020-03-28,20.05
"01025",2020-03-29,10.05
"01025",2020-03-30,30.05
"01025",2020-03-31,20.05
"01025",2020-04-01,10.05
"01027",2020-03-20,10.05
"01027",2020-03-23,10.05
"01027",2020-03-28,40.05
"01027",2020-03-29,20.05
"01027",2020-03-31,10.05
"01029",2020-03-20,10.05
"01029",2020-03-22,20.05
"01029",2020-03-23,10.05
"01029",2020-03-24,10.05
"01029",2020-03-27,10.05
"01031",2020-03-28,10.05
"01031",2020-03-29,40.05
"01031",2020-03-30,20.05
"01031",2020-04-01,10.05
"01031",2020-04-04,50.05
"01033",2020-03-20,10.05
"01033",2020-03-24,10.05
"01033",2020-03-25,20.05
"01033",2020-03-28,10.05
"01033",2020-03-31,10.05
"01035",2020-03-28,10.05
"01035",2020-03-30,10.05
"01035",2020-04-03,10.05
"01035",2020-04-07,20.05
"01035",2020-04-11,30.05
"01037",2020-03-21,20.05
"01037",2020-03-24,10.05
"01037",2020-03-26,10.05
"01037",2020-03-28,10.05
"01037",2020-03-29,10.05
"01039",2020-03-22,10.05
"01039",2020-03-23,10.05
"01039",2020-03-27,10.05
"01039",2020-03-29,10.05
"01039",2020-04-02,10.05
"01041",2020-03-22,10.05
"01041",2020-03-30,10.05
"01041",2020-04-07,10.05
"01041",2020-04-11,20.05
"01041",2020-04-13,10.05
"01043",2020-03-16,20.05
"01043",2020-03-19,10.05
"01043",2020-03-20,10.05
"01043",2020-03-21,20.05
"01043",2020-03-23,10.05
"01045",2020-03-28,10.05
"01045",2020-03-30,10.05
"01045",2020-04-01,20.05
"01045",2020-04-04,20.05
"01045",2020-04-07,20.05
"01047",2020-03-20,20.05
"01047",2020-03-28,20.05
"01047",2020-03-29,30.05
"01047",2020-04-05,40.05
"01047",2020-04-07,30.05
"01049",2020-03-21,10.05
"01049",2020-03-23,30.05
"01049",2020-03-27,10.05
"01049",2020-03-28,30.05
"01049",2020-03-29,20.05
"01051",2020-03-09,10.05
"01051",2020-03-12,10.05
"01051",2020-03-13,20.05
"01051",2020-03-14,10.05
"01051",2020-03-16,10.05
"01053",2020-03-23,10.05
"01053",2020-03-28,10.05
"01053",2020-03-31,10.05
"01053",2020-04-04,20.05
"01053",2020-04-06,30.05
"01055",2020-03-21,40.05
"01055",2020-03-23,20.05
"01055",2020-03-26,20.05
"01055",2020-03-27,20.05
"01055",2020-03-28,30.05
"01057",2020-03-25,10.05
"01057",2020-04-05,10.05
"01057",2020-04-06,10.05
"01057",2020-04-07,10.05
"01057",2020-04-21,10.05
"01059",2020-03-18,10.05
"01059",2020-03-20,10.05
"01059",2020-03-21,10.05
"01059",2020-03-28,10.05
"01059",2020-03-29,10.05
"01061",2020-04-07,10.05
"01061",2020-04-10,10.05
"01061",2020-04-13,20.05
"01061",2020-04-17,10.05
"01061",2020-04-18,10.05
"01063",2020-03-22,10.05
"01063",2020-03-23,20.05
"01063",2020-03-27,10.05
"01063",2020-03-29,10.05
"01063",2020-03-31,10.05
"01065",2020-03-25,10.05
"01065",2020-03-29,20.05
"01065",2020-04-01,10.05
